Handle,Title,Body (HTML),Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Fly Type (product.metafields.custom.fly_type),Product Format (product.metafields.custom.product_format),Season (product.metafields.custom.season),Spicies (product.metafields.custom.spicies)
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-copy,Leftys Deceiver and Clousers Deep Minnow Fly Fishing Flies (Copy),"<ul dir=""ltr"">
<li class=""a-spacing-mini"">
<div data-csa-c-id=""nt4fu5-a9kqlb-grg7fg-1frhh9"" data-cel-widget=""featurebullets_feature_div"" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-asin=""B0F5BVYSYN"" data-csa-c-slot-id=""featurebullets_feature_div"" data-csa-c-content-id=""featurebullets_nonPets"" data-csa-c-type=""widget"" data-feature-name=""featurebullets_nonPets"" id=""featurebullets_feature_div"">
<div id=""feature-bullets"">
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">The Deceiver and Clousers Minnow Saltwater Flies have been proven effective on many species of saltwater and freshwater gamefish</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">The Lefty Kreh Deceiver style of fly is one of the world's most popular saltwater flies. The Clousers Deep Minnows are proven effective for almost any type of saltwater or freshwater gamefish</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Tied on premium stainless steel hooks</span></li>
<li class=""a-spacing-mini"">
<span class=""a-list-item"">Equally effective on saltwater gamefish like Striped bass and Redfish, and freshwater species like Bass and Pike</span><br>
</li>
</ul>
</div>
</div>
<div data-csa-c-id=""qs4fcj-bwjiox-c8ziz2-7sjcui"" data-cel-widget=""provenanceCertifications_feature_div"" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-asin=""B0F5BVYSYN"" data-csa-c-slot-id=""provenanceCertifications_feature_div"" data-csa-c-content-id=""provenanceCertifications"" data-csa-c-type=""widget"" data-feature-name=""provenanceCertifications"" class=""celwidget"" id=""provenanceCertifications_feature_div"">
<div class=""a-section a-spacing-medium a-spacing-top-micro"" id=""provenance-certifications""></div>
</div>
</li>
</ul>",Fly Bars,,FALSE,Size,10,,,,,,,,,0,shopify,10,deny,manual,3.2,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/Saltwater_2_d28a50f0-243c-41f4-bd3b-ae86e01590e7.webp?v=1770958501,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-copy,,,,,,,12,,,,,,,,,0,shopify,10,deny,manual,3.2,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/51fT_jic47L._AC_SX679.jpg?v=1770958501,2,,,,,,,,
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-copy,,,,,,,14,,,,,,,,,0,shopify,10,deny,manual,3.2,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/71ogpc6iq1L._AC_SX679.jpg?v=1770958501,3,,,,,,,,
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-copy,,,,,,,16,,,,,,,,,0,shopify,10,deny,manual,3.2,,TRUE,TRUE,,,,,,,,,,,,,,,
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-copy,,,,,,,18,,,,,,,,,0,shopify,10,deny,manual,3.2,,TRUE,TRUE,,,,,,,,,,,,,,,
green-woolly-bugger-flies-streamer-trout-and-bass-flies,"Green woolly Bugger Flies | Streamer, Trout and Bass Flies","<ul dir=""ltr"">
<li class=""a-spacing-mini"">
<div id=""featurebullets_feature_div"" data-feature-name=""featurebullets_nonPets"" data-csa-c-type=""widget"" data-csa-c-content-id=""featurebullets_nonPets"" data-csa-c-slot-id=""featurebullets_feature_div"" data-csa-c-asin=""B0F5BVYSYN"" data-csa-c-is-in-initial-active-row=""false"" data-cel-widget=""featurebullets_feature_div"" data-csa-c-id=""nt4fu5-a9kqlb-grg7fg-1frhh9"">
<div id=""feature-bullets"">
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Premium Selection: Our 12-piece Woolly Bugger assortment offers a premium selection of versatile trout flies, perfect for anglers of all skill levels.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Essential Fly Fishing Gear: Whether you're a seasoned angler or just starting out, this assortment of Woolly Bugger flies is essential fly fishing gear for your tackle box.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Versatile Woolly Bugger Flies: Designed to mimic natural prey, our Woolly Bugger flies are versatile and effective in a variety of fishing conditions, ensuring success on the water.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Trusted Quality: Crafted with precision and expertise, each Woolly Bugger fly in our assortment is tied to the highest quality standards, ensuring durability and performance.</span></li>
</ul>
</div>
</div>
<div id=""provenanceCertifications_feature_div"" class=""celwidget"" data-feature-name=""provenanceCertifications"" data-csa-c-type=""widget"" data-csa-c-content-id=""provenanceCertifications"" data-csa-c-slot-id=""provenanceCertifications_feature_div"" data-csa-c-asin=""B0F5BVYSYN"" data-csa-c-is-in-initial-active-row=""false"" data-cel-widget=""provenanceCertifications_feature_div"" data-csa-c-id=""qs4fcj-bwjiox-c8ziz2-7sjcui"">
<div id=""provenance-certifications"" class=""a-section a-spacing-medium a-spacing-top-micro""></div>
</div>
</li>
</ul>",Fly Sets,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,9.7,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/71yUhYV1QIL._AC_SX569.jpg?v=1770958788,1,,FALSE,,,Streamers,Fly Sets,"Spring
Summer
Fall","Bass
Trout"
green-woolly-bugger-flies-streamer-trout-and-bass-flies,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,9.7,,TRUE,TRUE,,,,,,,,,,,,,,,
green-woolly-bugger-flies-streamer-trout-and-bass-flies,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,9.7,,TRUE,TRUE,,,,,,,,,,,,,,,
green-woolly-bugger-flies-streamer-trout-and-bass-flies,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,9.7,,TRUE,TRUE,,,,,,,,,,,,,,,
green-woolly-bugger-flies-streamer-trout-and-bass-flies,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,9.7,,TRUE,TRUE,,,,,,,,,,,,,,,
